ValueTime,Ratio,SunRad,Temperature
2023-01-01,93.10557748828545,267.36842105263156,-0.7011278195488719
2023-01-02,30.895680751276497,17.22222222222222,3.1066137566137564
2023-01-03,35.88473445675942,596.6666666666666,-1.7968537414965973
2023-01-04,14.873553998639373,20.0,-3.2055555555555566
2023-01-05,18.552827133396445,29.23076923076923,-2.6653846153846157
2023-01-06,24.104260404169917,81.42857142857143,-4.319940476190475
2023-01-07,37.782987405256065,41.25,-0.13229166666666656
2023-01-08,8.182873092161822,5.555555555555555,3.50925925925926
2023-01-09,70.44361028988754,22.666666666666668,4.598769841269842
2023-01-10,85.09615843285019,42.666666666666664,3.201746031746032
2023-01-11,14.959653202949777,8.095238095238095,4.299518140589568
2023-01-12,84.92936042591452,85.88235294117646,3.704446778711484
2023-01-13,68.72587092568044,230.95238095238096,3.962329931972788
2023-01-14,85.495159489132,55.294117647058826,4.262920168067227
2023-01-15,84.48771250563064,356.0,3.718154761904762
2023-01-16,77.13099738314187,814.7619047619048,3.0566326530612247
2023-01-17,10.646224191369818,9.523809523809524,2.3932823129251695
2023-01-18,70.29226372895259,895.7142857142857,2.495379818594104
2023-01-19,79.01146873796404,799.5238095238095,-0.20439342403628133
2023-01-20,71.02001255064997,162.38095238095238,0.11156462585034063
2023-01-21,87.98917049628179,83.5,-0.7390773809523811
2023-01-22,74.36701084876371,143.5,-3.4643452380952384
2023-01-23,38.84999463250865,79.0,-4.0963690476190475
2023-01-24,56.635215571353086,49.473684210526315,1.9145363408521305
2023-01-25,83.27949357518031,112.77777777777777,5.8144841269841265
2023-01-26,77.07200922684981,1106.6666666666667,3.367261904761905
2023-01-27,77.54921815249666,1349.047619047619,-1.125462962962963
2023-01-28,84.93044779499554,418.57142857142856,0.1944444444444448
2023-01-29,83.77855957896519,513.3333333333334,2.558267195767196
2023-01-30,77.59982194344109,1041.904761904762,4.648809523809524
2023-01-31,71.38670584666093,1740.4761904761904,1.108068783068783
2023-02-01,52.05402715543231,160.0,-0.9503968253968248
2023-02-02,18.933102687722204,1135.7142857142858,-1.792460317460316
2023-02-03,25.754707094429175,996.6666666666666,-3.1267857142857145
2023-02-04,27.809873230749645,1804.7619047619048,-3.0963624338624345
2023-02-05,31.8934030471883,276.3157894736842,-3.041447368421052
2023-02-06,29.786009977477956,1760.0,-0.5603835978835975
2023-02-07,72.86775143080428,152.77777777777777,2.0100308641975313
2023-02-08,96.1262304424549,161.42857142857142,4.249404761904761
2023-02-09,84.19290374849838,272.85714285714283,2.0765211640211643
2023-02-10,82.70710004998548,1760.952380952381,2.523015873015873
2023-02-11,78.62394095125198,1001.4285714285714,0.02619047619047616
2023-02-12,83.7110555777985,858.5714285714286,0.4095238095238094
2023-02-13,81.35325164398799,1580.4761904761904,5.313095238095239
2023-02-14,79.98160004464984,2156.190476190476,6.999603174603175
2023-02-15,89.6318101654436,195.5,2.9999305555555544
2023-02-16,88.54605100678675,315.7142857142857,3.3000661375661364
2023-02-17,93.68722796448832,339.04761904761904,4.3480820105820115
2023-02-18,85.86925610724882,687.1428571428571,2.8174603174603186
2023-02-19,80.70686170075085,2842.3809523809523,1.7456529581529576
2023-02-20,37.247133609265525,515.2380952380952,-0.05376984126984138
2023-02-21,22.222710290013506,410.95238095238096,-0.7572089947089952
2023-02-22,31.016708855243813,1186.6666666666667,-0.18835978835978875
2023-02-23,16.689761792218363,448.125,0.2669270833333333
2023-02-24,20.768489184014353,527.5,0.8108333333333333
2023-02-25,16.94653237258641,681.0,-1.333541666666667
2023-02-26,28.984066279237645,1572.857142857143,-0.44424603174603206
2023-02-27,66.41220267494583,2405.2380952380954,5.743253968253963
2023-02-28,88.37110521094148,2393.809523809524,5.6584235209235185
2023-03-01,82.34765320500529,3120.9523809523807,7.36778499278499
2023-03-02,79.85028323583231,2733.3333333333335,6.744480519480517
2023-03-03,76.53671092486627,1633.8095238095239,4.502615440115441
2023-03-04,85.31694572161238,2315.2380952380954,0.9050685425685426
2023-03-05,86.21603044045953,2365.714285714286,0.787319624819625
2023-03-06,54.99155584463665,1736.1904761904761,-1.7022366522366528
2023-03-07,84.06470357772976,1593.8095238095239,-2.0564935064935055
2023-03-08,10.463749621074115,393.57142857142856,-1.5986201298701317
2023-03-09,27.50903773023305,2218.4210526315787,-2.059230462519936
2023-03-10,26.909352396235164,1959.5,0.6691477272727278
2023-03-11,42.43057850907097,2265.7894736842104,-1.2599880382775124
2023-03-12,46.10235298653943,4071.0,0.2043312937062932
2023-03-13,49.253278483372604,730.5,-0.5620833333333339
2023-03-14,77.22416422869394,1344.2857142857142,5.44484126984127
2023-03-15,82.78765110097818,4433.333333333333,3.936507936507936
2023-03-16,81.63947283285117,4423.333333333333,4.897191697191702
2023-03-17,83.05888152942877,1370.0,2.6547313797313796
2023-03-18,84.21359562408624,381.42857142857144,3.9692460317460325
2023-03-19,89.94304903327827,1236.1904761904761,7.1382020757020745
2023-03-20,87.93963900987248,697.6190476190476,4.775732600732601
2023-03-21,87.53294105152746,3063.3333333333335,6.881318681318687
2023-03-22,88.7072130868038,1193.3333333333333,7.416666666666665
2023-03-23,83.79792952506934,4007.0,10.967419871794878
2023-03-24,86.49504499579487,846.5,7.273028846153847
2023-03-25,52.15630424203755,633.5,0.5691564685314681
2023-03-26,21.081300476840756,1306.5,-0.06450757575757533
2023-03-27,15.521759546965058,1250.5,-2.132884615384615
2023-03-28,31.94987395396104,2818.5,-1.4134615384615379
2023-03-29,47.07218541298073,1321.0,-2.5481249999999998
2023-03-30,41.19563539234183,1735.0,-0.08301282051281947
