ValueTime,Ratio
2023-01-01,94.67259057993597
2023-01-02,30.199201629634388
2023-01-03,37.85417371695726
2023-01-04,14.873553998639373
2023-01-05,18.552827133396445
2023-01-06,24.104260404169917
2023-01-07,37.782987405256065
2023-01-08,8.664218568171341
2023-01-09,67.91046443431782
2023-01-10,91.90824036026194
2023-01-11,16.534353540102387
2023-01-12,89.8978587705687
2023-01-13,71.20297816249098
2023-01-14,89.69062906623272
2023-01-15,86.44373656003319
2023-01-16,78.50006518186458
2023-01-17,11.766879369408747
2023-01-18,71.32998928149439
2023-01-19,80.28241246893255
2023-01-20,74.26767685881345
2023-01-21,91.63161067761399
2023-01-22,77.18832355047381
2023-01-23,38.36085436489758
2023-01-24,59.91392817577609
2023-01-25,87.04315736640044
2023-01-26,78.12768864467017
2023-01-27,78.80561519400459
2023-01-28,87.14030040997247
2023-01-29,85.87993287276886
2023-01-30,79.01384330905223
2023-01-31,72.56005897070499
2023-02-01,50.58172689929436
2023-02-02,20.204480327555995
2023-02-03,27.72863928069929
2023-02-04,29.950027158219505
2023-02-05,33.35506288568785
2023-02-06,31.75471874454813
2023-02-07,77.35567720138113
2023-02-08,100.57267534305672
2023-02-09,87.69663439307332
2023-02-10,84.16419355336009
2023-02-11,80.34603946336291
2023-02-12,85.9784990546602
2023-02-13,83.15511719176428
2023-02-14,81.59532172638764
2023-02-15,93.80834328062379
2023-02-16,92.13308558068438
2023-02-17,96.93404158616215
2023-02-18,89.16925060937568
2023-02-19,82.31483365772921
2023-02-20,38.70276487594095
2023-02-21,23.5398749197553
2023-02-22,33.50547909605602
2023-02-23,17.792532344687135
2023-02-24,22.988800895718125
2023-02-25,18.722729690637976
2023-02-26,31.593555939493047
2023-02-27,68.22110887357546
2023-02-28,90.16133449679633
2023-03-01,84.11998068479977
2023-03-02,81.69848305895763
2023-03-03,78.83056954989148
2023-03-04,87.05080107893315
2023-03-05,88.04898857917233
2023-03-06,56.009618832929185
2023-03-07,86.10726494333181
2023-03-08,9.545692756531993
2023-03-09,25.675352181561482
2023-03-10,25.47917334769834
2023-03-11,39.749359031402214
2023-03-12,44.412006415223495
2023-03-13,47.71497856330823
2023-03-14,79.22331545528937
2023-03-15,84.42349851687887
2023-03-16,83.33628835934599
2023-03-17,85.43155704743309
2023-03-18,87.6241110243603
2023-03-19,92.3659065467338
2023-03-20,90.20702921870401
2023-03-21,89.29423390210047
2023-03-22,91.04832763922673
2023-03-23,85.58848951533179
2023-03-24,89.25166095242012
2023-03-25,54.89864204487725
2023-03-26,23.16108077023451
2023-03-27,16.290951156323924
2023-03-28,31.01052907523736
2023-03-29,44.77795479752953
2023-03-30,39.91673208375306
2023-03-31,68.95091892200293
2023-04-01,80.81117470403339
2023-04-02,84.54805136128374
2023-04-03,82.3839747629254
2023-04-04,86.8216281707937
2023-04-05,79.6132775263974
2023-04-06,79.44059623105053
2023-04-07,89.90857330573729
2023-04-08,82.73004910075674
2023-04-09,75.60240362723019
2023-04-10,84.51932225237391
2023-04-11,86.93852469625351
2023-04-12,83.93901191563576
2023-04-13,83.58627866600072
2023-04-14,95.13323098580689
2023-04-15,85.04586007417849
2023-04-16,84.05515570246047
2023-04-17,83.44485992349205
2023-04-18,88.22918676539166
2023-04-19,83.63958812297201
2023-04-20,83.75018411210223
2023-04-21,84.12071073357386
2023-04-22,83.45219050096668
2023-04-23,86.44950904850326
2023-04-24,87.53404828707944
2023-04-25,99.07291926358687
2023-04-26,84.91877509300751
2023-04-27,93.27396594996694
2023-04-28,86.97521335531214
2023-04-29,83.23230893872116
2023-04-30,85.60552768837748
2023-05-01,89.5008422424488
2023-05-02,95.23972363711066
2023-05-03,85.94212966667642
2023-05-04,87.20875020260178
2023-05-05,87.58144319512435
2023-05-06,84.78180170943169
2023-05-07,84.61224113394806
2023-05-08,84.38744828735814
2023-05-09,84.66024650355669
2023-05-10,85.38168821674589
2023-05-11,85.672543190729
2023-05-12,84.62612718891067
2023-05-13,82.62373340340835
2023-05-14,84.26840271983787
2023-05-15,89.55115681199646
2023-05-16,96.36173516454477
2023-05-17,93.53223249807233
2023-05-18,85.62806341446729
2023-05-19,84.59106345087358
2023-05-20,83.90301195004211
2023-05-21,84.62018801559887
2023-05-22,85.0718879616476
2023-05-23,84.24796690243645
2023-05-24,84.41542468113396
2023-05-25,85.45938102056161
2023-05-26,86.14676060040465
2023-05-27,86.61367471498059
2023-05-28,85.45683410359885
2023-05-29,86.88684214775657
2023-05-30,85.12236589433161
2023-05-31,84.39457482402102
2023-06-01,83.7790021889603
2023-06-02,83.97610180781298
2023-06-03,84.93543057349991
2023-06-04,87.29361859314926
2023-06-05,82.99762332203323
2023-06-06,84.35413004007037
2023-06-07,83.16876189299103
2023-06-08,87.93394213917783
2023-06-09,83.4431524792802
2023-06-10,82.41916773591636
2023-06-11,82.9852118447333
2023-06-12,82.68408185158657
2023-06-13,82.24264013814624
2023-06-14,84.12970994878154
2023-06-15,81.05932808389221
2023-06-16,83.95001706294323
2023-06-17,82.46983512715352
2023-06-18,81.57828740609169
2023-06-19,89.2336247274354
2023-06-20,84.76781822543154
2023-06-21,83.40896574159575
2023-06-22,83.1275007052233
2023-06-23,79.29956086837926
2023-06-24,86.46587853892221
2023-06-25,82.80628096522058
2023-06-26,83.32204222210359
2023-06-27,81.62261689936607
2023-06-28,83.62745721118077
2023-06-29,82.11395056907679
2023-06-30,81.24187375185842
2023-07-01,84.1306594521109
2023-07-02,84.93679523757696
2023-07-03,78.07684362618268
2023-07-04,91.29502720472303
2023-07-05,77.3933066357787
