ValueTime,PlantKey,Ratio,SunRad,Temperature
2023-01-02,FSK0006,0.0,0.0,3.68333333333333
2023-01-03,FSK0006,118.000204653262,420.0,-5.44166666666666
2023-01-04,FSK0006,0.0,-420.0,-0.9041666666666701
2023-01-05,FSK0006,0.0,0.0,0.94166666666667
2023-01-06,FSK0006,121.944405143668,50.0,-1.6166666666666698
2023-01-07,FSK0006,176.730816366375,-20.0,3.5583333333333327
2023-01-08,FSK0006,0.0,-30.0,3.8291666666666666
2023-01-11,FSK0006,0.0,0.0,0.9249999999999998
2023-01-13,FSK0006,76.0107258569778,230.0,-0.3624999999999998
2023-01-14,FSK0006,0.0,-230.0,0.15416666666667034
2023-01-15,FSK0006,140.502615266793,200.0,-0.2958333333333405
2023-01-16,FSK0006,80.0782919888556,600.0,-0.30833333333333
2023-01-17,FSK0006,0.0,-800.0,-1.1624999999999996
2023-01-18,FSK0006,60.4849084412958,1060.0,0.17083333333332984
2023-01-19,FSK0006,79.8847845607821,-170.0,-2.837499999999997
2023-01-20,FSK0006,129.087492141102,-770.0,0.025000000000000022
2023-01-21,FSK0006,147.785662477852,-80.0,-0.645833333333333
2023-01-22,FSK0006,102.049221244284,50.0,-3.14583333333333
2023-01-23,FSK0006,99.7898396670303,60.0,-0.0916666666666699
2023-01-24,FSK0006,0.0,-150.0,6.125
2023-01-25,FSK0006,91.0672556099276,120.0,3.64583333333333
2023-01-26,FSK0006,71.395879320501,1230.0,-2.19166666666666
2023-01-27,FSK0006,77.7623408252482,250.0,-3.0374999999999996
2023-01-28,FSK0006,86.827677402503,-1200.0,-0.6791666666666699
2023-01-29,FSK0006,94.5564464750291,100.0,2.90416666666667
2023-01-30,FSK0006,72.4644222481209,1100.0,3.075
2023-01-31,FSK0006,71.9229295935474,670.0,-3.19166666666667
2023-02-01,FSK0006,124.506323084303,-2130.0,-3.758333333333333
2023-02-02,FSK0006,72.9005309059986,1670.0,0.19583333333333297
2023-02-03,FSK0006,74.8716526358889,-100.0,-1.10833333333333
2023-02-04,FSK0006,77.2900608592548,780.0,0.7249999999999971
2023-02-05,FSK0006,96.5347554340425,-2320.0,-1.833333333333337
2023-02-06,FSK0006,80.129515064953,2000.0,4.01666666666667
2023-02-07,FSK0006,99.2366122470645,-2070.0,1.10833333333333
2023-02-08,FSK0006,113.81540366575,10.0,2.04166666666667
2023-02-09,FSK0006,86.6325390055807,100.0,-2.12083333333333
2023-02-10,FSK0006,82.7801289090466,2210.0,2.25416666666666
2023-02-11,FSK0006,95.8509855382264,-1800.0,-4.524999999999998
2023-02-12,FSK0006,98.7727270774072,190.0,0.866666666666667
2023-02-13,FSK0006,88.6503506406641,950.0,6.30833333333333
2023-02-14,FSK0006,88.896085707762,700.0,0.9083333333333394
2023-02-15,FSK0006,116.644202206709,-2350.0,-4.98333333333334
2023-02-16,FSK0006,123.608396018048,70.0,0.4624999999999999
2023-02-17,FSK0006,113.6558468797,100.0,1.0250000000000004
2023-02-18,FSK0006,129.225038713433,90.0,-1.8291666666666604
2023-02-19,FSK0006,95.9294016116668,2820.0,0.42916666666666003
2023-02-20,FSK0006,70.7734304814742,-2960.0,-3.47083333333333
2023-02-21,FSK0006,111.551969544428,20.0,0.0708333333333334
2023-02-22,FSK0006,124.515485218505,960.0,1.4624999999999966
2023-02-23,FSK0006,85.5176800866924,-870.0,-0.616666666666663
2023-02-24,FSK0006,106.679473232117,10.0,0.2875000000000031
2023-02-25,FSK0006,87.3776488414175,80.0,-2.20833333333334
2023-02-26,FSK0006,117.680834124218,610.0,1.3708333333333371
2023-02-27,FSK0006,97.91912932923,940.0,6.641666666666663
2023-02-28,FSK0006,104.430463821262,520.0,1.25416666666667
2023-03-01,FSK0006,103.612560380382,830.0,2.5500000000000007
2023-03-02,FSK0006,91.8763730000826,-510.0,-0.6166666666667009
2023-03-03,FSK0006,118.352654935473,-1570.0,-4.74166666666663
2023-03-04,FSK0006,90.8207727608643,1690.0,-1.9083333333333394
2023-03-05,FSK0006,95.2718300321154,-200.0,0.5583333333333398
2023-03-06,FSK0006,63.5358049410294,-770.0,-4.450000000000003
2023-03-07,FSK0006,86.1701131764232,0.0,0.19583333333333297
2023-03-08,FSK0006,0.0,-1970.0,-0.8916666666666699
2023-03-09,FSK0006,1.24613048110717,2200.0,-0.8083333333333302
2023-03-10,FSK0006,17.4847961097048,-1320.0,0.5166666666666702
2023-03-11,FSK0006,34.0162163974386,250.0,0.704166666666664
2023-03-12,FSK0006,61.8938703240116,3190.0,3.129166666666666
2023-03-13,FSK0006,78.3452091407554,-3780.0,-2.275000000000001
2023-03-14,FSK0006,85.025733557863,850.0,6.0416666666666705
2023-03-15,FSK0006,90.8721506503131,3610.0,0.4458333333333302
2023-03-16,FSK0006,89.3230661716026,20.0,2.308333333333331
2023-03-17,FSK0006,95.6918470878171,-3730.0,-5.679166666666661
2023-03-18,FSK0006,109.694124555782,-1040.0,1.1124999999999998
2023-03-19,FSK0006,96.0631275090234,780.0,2.8583333333333307
2023-03-20,FSK0006,83.2763991951229,-410.0,-2.30833333333333
2023-03-21,FSK0006,87.7243065198548,3020.0,3.74166666666666
2023-03-22,FSK0006,100.093297847131,-2670.0,-0.9625000000000004
2023-03-23,FSK0006,92.851959074361,3640.0,5.2374999999999705
2023-03-24,FSK0006,88.2091974110342,-3700.0,-5.07916666666663
2023-03-25,FSK0006,63.9626861657167,-340.0,-6.96666666666667
2023-03-26,FSK0006,72.457825769142,350.0,-0.158333333333333
2023-03-27,FSK0006,14.8982137712382,-130.0,-2.1874999999999973
2023-03-28,FSK0006,2.59645552207159,1260.0,-0.08333333333333992
2023-03-29,FSK0006,8.63424480692203,-890.0,-0.37083333333333
2023-03-30,FSK0006,50.4806973178609,-770.0,1.458333333333333
2023-03-31,FSK0006,78.8647016181914,2810.0,4.699999999999997
2023-04-01,FSK0006,90.6764737270932,2720.0,4.05416666666667
2023-04-02,FSK0006,91.1886951309148,-90.0,0.041666666666660745
2023-04-03,FSK0006,91.7137614939732,50.0,1.32500000000001
2023-04-04,FSK0006,96.1211277398071,-3870.0,-5.65
2023-04-05,FSK0006,95.8105282528622,-1220.0,-3.425000000000003
2023-04-06,FSK0006,100.459980571217,1880.0,6.408333333333333
2023-04-07,FSK0006,93.1265055320797,-1940.0,-2.07916666666667
2023-04-08,FSK0006,89.5842096641608,5000.0,10.97916666666667
2023-04-09,FSK0006,86.3884693090748,-1700.0,-3.9666666666666988
2023-04-10,FSK0006,88.6824712185301,1930.0,0.9958333333333993
2023-04-11,FSK0006,92.8702281107679,-1240.0,-1.0666666666667002
2023-04-12,FSK0006,93.6084295726315,440.0,3.7916666666667
2023-04-13,FSK0006,74.2439171538527,-3950.0,-7.987500000000029
2023-04-14,FSK0006,93.8274012852211,-290.0,-1.9083333333333403
2023-04-15,FSK0006,92.1176754301903,5060.0,7.25416666666667
2023-04-16,FSK0006,90.4020571177622,130.0,1.1291666666667002
2023-04-17,FSK0006,90.2785176558915,60.0,2.7125000000000004
2023-04-18,FSK0006,93.4211856770824,-210.0,-1.3166666666667002
2023-04-19,FSK0006,90.4425712865529,360.0,0.17499999999999893
2023-04-20,FSK0006,90.1638598056298,-440.0,3.0
2023-04-21,FSK0006,89.6944451690613,-380.0,3.5833333333333
2023-04-22,FSK0006,89.2464133975659,740.0,-0.07083333333330089
2023-04-23,FSK0006,95.4815256333464,-1430.0,-5.2916666666667
2023-04-24,FSK0006,86.1887702275228,-4000.0,-10.145833333333298
2023-04-25,FSK0006,93.5972864249042,400.0,2.116666666666669
2023-04-26,FSK0006,93.602980768202,1490.0,1.8916666666666302
2023-04-27,FSK0006,106.105083302945,920.0,-1.0833333333333002
2023-04-28,FSK0006,92.9995130007505,330.0,2.116666666666701
