ValueTime,PlantKey,Ratio,SunRad,Temperature
2023-01-01,SBO0016,135.370370300847,170.0,-1.92916666666667
2023-01-02,SBO0016,0.0,-170.0,4.66666666666667
2023-01-03,SBO0016,33.7167817950008,360.0,-5.699999999999999
2023-01-04,SBO0016,0.0,-360.0,-1.02916666666667
2023-01-05,SBO0016,0.0,0.0,1.0166666666666697
2023-01-06,SBO0016,0.0,0.0,-1.9374999999999996
2023-01-07,SBO0016,0.0,0.0,4.283333333333332
2023-01-08,SBO0016,0.0,0.0,3.966666666666667
2023-01-09,SBO0016,0.0,0.0,0.7708333333333299
2023-01-11,SBO0016,0.0,0.0,-0.12083333333333002
2023-01-13,SBO0016,92.0007456623636,180.0,-0.6374999999999997
2023-01-15,SBO0016,114.135068159767,90.0,-0.033333333333330106
2023-01-16,SBO0016,93.7079056591147,390.0,-1.0791666666666702
2023-01-17,SBO0016,0.0,-660.0,0.020833333333330373
2023-01-18,SBO0016,92.7253427993088,670.0,-0.8083333333333302
2023-01-19,SBO0016,108.704144214371,-130.0,-3.19166666666667
2023-01-20,SBO0016,164.572898670034,-460.0,1.4958333333333371
2023-01-23,SBO0016,0.0,-80.0,-4.483333333333337
2023-01-26,SBO0016,96.1603560164898,930.0,7.25416666666667
2023-01-27,SBO0016,99.7819169615909,60.0,-5.820833333333329
2023-01-28,SBO0016,129.385537277191,-710.0,2.354166666666663
2023-01-29,SBO0016,131.847118799955,60.0,2.762499999999997
2023-01-30,SBO0016,108.038832131479,330.0,2.1500000000000004
2023-01-31,SBO0016,92.0922591448282,620.0,-4.55833333333333
2023-02-01,SBO0016,99.3463429693554,-1240.0,-1.1333333333333302
2023-02-02,SBO0016,6.94416132236386,1050.0,-1.38333333333334
2023-02-03,SBO0016,9.71777141381055,-410.0,-1.4374999999999996
2023-02-04,SBO0016,16.42775101744,750.0,-0.4250000000000007
2023-02-05,SBO0016,33.0025713295286,-1250.0,0.9708333333333403
2023-02-06,SBO0016,34.5936542409731,1160.0,0.7208333333333301
2023-02-08,SBO0016,194.516185289641,-1260.0,7.03333333333333
2023-02-09,SBO0016,128.001964237685,110.0,-2.1041666666666603
2023-02-10,SBO0016,111.620206450293,950.0,-0.20416666666666994
2023-02-11,SBO0016,101.784746204384,-220.0,-2.35
2023-02-12,SBO0016,116.086475837951,-290.0,0.0625
2023-02-13,SBO0016,111.754355777986,470.0,4.858333333333331
2023-02-14,SBO0016,98.729095702547,600.0,1.5583333333333398
2023-02-15,SBO0016,197.145419420259,-1610.0,-3.13333333333334
2023-02-16,SBO0016,146.44637332731,110.0,0.31666666666667
2023-02-17,SBO0016,165.845546936501,-10.0,0.9874999999999998
2023-02-18,SBO0016,105.145631477414,410.0,-1.5083333333333302
2023-02-19,SBO0016,100.597373892027,1520.0,-1.9208333333333367
2023-02-20,SBO0016,39.6892699747459,-1720.0,-1.770833333333333
2023-02-21,SBO0016,23.3928662241015,-120.0,0.1499999999999999
2023-02-22,SBO0016,18.9976351910893,470.0,-0.6541666666666699
2023-02-23,SBO0016,9.93097286071001,-440.0,1.70416666666667
2023-02-24,SBO0016,13.9758225113117,70.0,0.1375
2023-02-25,SBO0016,12.5541268870777,150.0,-1.37916666666667
2023-02-26,SBO0016,15.3753910258903,690.0,-1.0250000000000001
2023-02-27,SBO0016,85.0202721923004,890.0,6.44166666666667
2023-02-28,SBO0016,119.838086871448,-470.0,-0.037499999999999645
2023-03-01,SBO0016,104.242438866691,630.0,1.9208333333333298
2023-03-02,SBO0016,106.998136147649,-420.0,-0.7999999999999998
2023-03-03,SBO0016,97.9788208185389,-600.0,-1.2791666666666601
2023-03-04,SBO0016,121.127464126285,240.0,-3.833333333333337
2023-03-05,SBO0016,117.716926648847,120.0,-0.7624999999999991
2023-03-06,SBO0016,71.3176081759645,-170.0,-2.0625000000000036
2023-03-07,SBO0016,129.344476158752,-450.0,-0.30833333333333
2023-03-08,SBO0016,10.7826045701885,-540.0,1.1083333333333298
2023-03-09,SBO0016,44.9651454653392,1340.0,-0.7749999999999999
2023-03-10,SBO0016,52.1268603649521,-150.0,3.3125000000000027
2023-03-11,SBO0016,79.1868131866259,280.0,-2.587500000000003
2023-03-12,SBO0016,96.9277706600759,1250.0,0.2833333333333399
2023-03-13,SBO0016,131.632629611466,-2620.0,0.57916666666666
2023-03-14,SBO0016,110.527617257686,420.0,6.3625
2023-03-15,SBO0016,106.154555848301,2380.0,-2.6125
2023-03-16,SBO0016,105.745985656852,-40.0,0.63333333333334
2023-03-17,SBO0016,119.62844705901,-2340.0,-0.9333333333333398
2023-03-18,SBO0016,123.40267108679,-700.0,1.62916666666667
2023-03-19,SBO0016,136.674567425023,630.0,2.97916666666666
2023-03-20,SBO0016,142.336621415771,-430.0,-2.43333333333333
2023-03-21,SBO0016,119.122173219662,1770.0,2.14583333333334
2023-03-22,SBO0016,127.59531728575,-1340.0,0.5708333333333302
2023-03-23,SBO0016,112.029738661404,2010.0,3.2541666666667
2023-03-24,SBO0016,132.022909030565,-2330.0,-3.18750000000003
2023-03-25,SBO0016,96.9347694743299,-200.0,-6.44166666666667
2023-03-26,SBO0016,11.7473445378242,690.0,-1.431818181818182
2023-03-27,SBO0016,20.6987771880437,-100.0,-1.430681818181818
2023-03-28,SBO0016,51.3243951234286,1600.0,0.7124999999999999
2023-03-29,SBO0016,131.492405852505,-1740.0,-1.80833333333333
2023-03-30,SBO0016,99.9322835302314,400.0,3.00833333333333
2023-03-31,SBO0016,103.665409854882,2610.0,3.5333333333333297
