ValueTime,PlantKey,Ratio,SunRad,Temperature
2023-01-01,FBO0023,96.9565134075264,180.0,-0.925
2023-01-02,FBO0023,-96.9565134075264,-180.0,3.55
2023-01-03,FBO0023,87.4503949623743,650.0,-4.06666666666667
2023-01-04,FBO0023,-87.4503949623743,-650.0,-2.15833333333333
2023-01-05,FBO0023,0.0,0.0,0.62083333333333
2023-01-06,FBO0023,63.3928498009302,100.0,-1.8833333333333298
2023-01-07,FBO0023,-63.3928498009302,-100.0,4.370833333333333
2023-01-08,FBO0023,0.0,0.0,3.8833333333333373
2023-01-09,FBO0023,0.0,0.0,0.5083333333333298
2023-01-10,FBO0023,186.28950939689,20.0,-1.0
2023-01-11,FBO0023,-186.28950939689,-20.0,1.4833333333333303
2023-01-13,FBO0023,80.9771747395117,150.0,-0.6375000000000002
2023-01-15,FBO0023,34.3268778713463,150.0,0.15833333333333988
2023-01-16,FBO0023,-10.043952981779,560.0,-0.48333333333334005
2023-01-17,FBO0023,-105.260099629079,-860.0,-1.02083333333333
2023-01-18,FBO0023,59.7011839343833,1640.0,0.8000000000000003
2023-01-19,FBO0023,19.821505119676793,-40.0,-3.0875000000000004
2023-01-20,FBO0023,-3.021971416128096,-1300.0,-1.19583333333333
2023-01-21,FBO0023,107.275739326198,-270.0,0.26249999999999696
2023-01-22,FBO0023,-101.2588849214293,80.0,-3.399999999999997
2023-01-23,FBO0023,-7.818750222398009,60.0,-0.19583333333333997
2023-01-24,FBO0023,-74.6988218203027,-170.0,6.175
2023-01-25,FBO0023,62.7848832685871,180.0,4.125
2023-01-26,FBO0023,14.460045062373105,1430.0,-1.92916666666666
2023-01-27,FBO0023,-5.348373536438913,890.0,-3.91666666666667
2023-01-28,FBO0023,-6.958079520598687,-1890.0,-0.1583333333333329
2023-01-29,FBO0023,11.6219786366878,10.0,2.812500000000003
2023-01-30,FBO0023,-8.4859025184751,1620.0,3.05
2023-01-31,FBO0023,9.194996163762397,630.0,-3.8874999999999997
2023-02-01,FBO0023,-2.909164908076505,-2710.0,-3.7833333333333403
2023-02-02,FBO0023,-12.153861747977395,2260.0,0.82083333333334
2023-02-03,FBO0023,10.8169433755614,-440.0,-2.6041666666666696
2023-02-04,FBO0023,4.532490440179103,1200.0,2.275
2023-02-05,FBO0023,5.134369560244494,-2960.0,-2.2
2023-02-06,FBO0023,-3.1456045247228985,2570.0,4.554166666666667
2023-02-08,FBO0023,32.629214459106095,-2690.0,2.954166666666663
2023-02-09,FBO0023,-13.954660769214897,70.0,-2.09166666666666
2023-02-10,FBO0023,-18.109547438845198,2730.0,1.5750000000000002
2023-02-11,FBO0023,6.136148232400899,-2130.0,-3.137500000000003
2023-02-12,FBO0023,-0.5443493454746005,210.0,0.174999999999999
2023-02-13,FBO0023,-1.1523098145572988,1160.0,5.662500000000004
2023-02-14,FBO0023,-8.502830012690907,1180.0,1.9208333333333298
2023-02-15,FBO0023,58.360199322366014,-3230.0,-5.35
2023-02-16,FBO0023,-36.984714394274505,130.0,0.39583333333332993
2023-02-17,FBO0023,-6.790969275097908,100.0,1.0708333333333404
2023-02-18,FBO0023,18.39833247436441,150.0,-1.1166666666666702
2023-02-19,FBO0023,-28.892314829507,3960.0,0.02083333333332993
2023-02-20,FBO0023,-2.7696513009170047,-4180.0,-3.17083333333333
2023-02-21,FBO0023,-56.9886046106435,200.0,-1.2
2023-02-22,FBO0023,57.297552775041204,1080.0,1.270833333333333
2023-02-23,FBO0023,-31.567718832663907,-1110.0,0.266666666666667
2023-02-24,FBO0023,29.208362085009803,70.0,0.13749999999999998
2023-02-25,FBO0023,-48.2604357308004,-50.0,-2.0625
2023-02-26,FBO0023,36.3738286061738,1330.0,1.354166666666667
2023-02-27,FBO0023,19.150276313038795,1090.0,6.058333333333334
2023-02-28,FBO0023,0.5407573616936077,560.0,0.9916666666666698
2023-03-01,FBO0023,0.24504659169089393,1110.0,1.9249999999999998
2023-03-02,FBO0023,1.5297416602266054,-620.0,-0.7999999999999998
2023-03-03,FBO0023,7.898650280863194,-2090.0,-2.89166666666667
2023-03-04,FBO0023,-19.1282225359473,1940.0,-2.55
2023-03-05,FBO0023,3.4924096581444104,-320.0,-0.41666666666667007
2023-03-06,FBO0023,-10.57938974318671,-1750.0,-3.9625
2023-03-07,FBO0023,19.2205065195849,250.0,-0.06666666666666021
2023-03-09,FBO0023,31.507323997649607,-1800.0,-0.6625000000000001
2023-03-10,FBO0023,-67.0267202346517,1500.0,1.1625
2023-03-11,FBO0023,11.5291433013331,490.0,-2.51666666666667
2023-03-12,FBO0023,0.9328030673572982,3180.0,5.275
2023-03-13,FBO0023,-11.371523764523396,-4720.0,-2.0875
2023-03-14,FBO0023,47.954099480833705,660.0,6.49166666666667
2023-03-15,FBO0023,-16.115810645408004,4840.0,-0.12083333333333979
2023-03-16,FBO0023,-0.9109793650604985,-100.0,0.69166666666667
2023-03-17,FBO0023,5.94633266952539,-4560.0,-4.262499999999999
2023-03-18,FBO0023,5.187635277637511,-1150.0,1.8874999999999997
2023-03-19,FBO0023,-16.51666005214311,650.0,1.9833333333333298
2023-03-20,FBO0023,-10.330137483411889,-100.0,-1.2916666666666599
2023-03-21,FBO0023,16.30365499282219,2910.0,2.4125000000000005
2023-03-22,FBO0023,7.571912520943698,-2580.0,0.0625
2023-03-23,FBO0023,-3.3660787368228995,3930.0,4.53750000000003
2023-03-24,FBO0023,9.8299096959542,-4290.0,-4.4666666666667005
2023-03-25,FBO0023,-19.6016099134079,-370.0,-6.391666666666667
