ValueTime,Temperature
2023-03-01,7.719437799043058
2023-03-02,7.022627591706536
2023-03-03,4.672188995215311
2023-03-04,1.0979266347687398
2023-03-05,1.0594497607655504
2023-03-06,-1.4726475279106863
2023-03-07,-1.856080542264752
2023-03-08,-1.5837703962703982
2023-03-09,-2.0391414141414144
2023-03-10,0.7714712918660293
2023-03-11,-1.1698021885521892
2023-03-12,0.4001732916206595
2023-03-13,-0.459868421052632
2023-03-14,5.646271929824561
2023-03-15,4.284649122807018
2023-03-16,5.318168016194337
2023-03-17,2.8032557354925776
2023-03-18,4.091447368421053
2023-03-19,7.395074224021591
2023-03-20,4.958265856950067
2023-03-21,7.279571524966267
2023-03-22,7.635307017543859
2023-03-23,11.337179487179492
2023-03-24,7.435309829059829
2023-03-25,0.6983682983682978
2023-03-26,0.1288299663299668
2023-03-27,-1.9900106837606837
2023-03-28,-1.254772079772079
2023-03-29,-2.431944444444444
2023-03-30,0.2123931623931633
2023-03-31,3.914880952380951
2023-04-01,5.129993386243388
2023-04-02,4.558155270655266
2023-04-03,6.277286967418551
2023-04-04,3.557456140350878
2023-04-05,0.2644736842105263
2023-04-06,6.695809001787266
2023-04-07,4.036706349206348
2023-04-08,13.257175925925925
2023-04-09,12.101157407407412
2023-04-10,11.89398148148149
2023-04-11,11.370370370370368
2023-04-12,15.081481481481475
2023-04-13,7.231944444444445
2023-04-14,5.074537037037036
2023-04-15,12.042824074074067
2023-04-16,12.672354497354496
2023-04-17,13.75801820728292
2023-04-18,12.956127450980384
2023-04-19,14.245728291316532
2023-04-20,17.361939775910365
2023-04-21,19.84973544973544
2023-04-22,19.818287037037045
2023-04-23,15.624509803921566
2023-04-24,6.423144257703079
2023-04-25,8.332563025210085
2023-04-26,10.744477513227512
2023-04-27,8.422916666666667
2023-04-28,9.905133442265797
2023-04-29,7.625285947712417
2023-04-30,11.79424019607844
2023-05-01,8.298684210526318
2023-05-02,10.69411764705882
2023-05-03,12.463802889576892
2023-05-04,9.925103199174409
2023-05-05,8.787022703818371
2023-05-06,12.359326625386998
2023-05-07,14.1499226006192
2023-05-08,17.427463880288958
2023-05-09,17.709765221878232
2023-05-10,18.85592105263158
2023-05-11,19.6657636738906
2023-05-12,21.741627966976264
2023-05-13,22.526431888544884
2023-05-14,24.00434368191721
2023-05-15,20.158796296296284
2023-05-16,13.928649237472769
2023-05-17,9.633523965141608
2023-05-18,17.4395061728395
2023-05-19,19.88484405458091
2023-05-20,20.78662686809616
2023-05-21,22.535453216374272
2023-05-22,24.083849090318378
2023-05-23,23.564067576348272
2023-05-24,25.343656595191685
2023-05-25,22.14182504873294
2023-05-26,18.02164148797921
2023-05-27,19.503228557504883
2023-05-28,18.518607862248217
2023-05-29,20.61967592592592
2023-05-30,21.37574317738792
2023-05-31,21.56708089668616
2023-06-01,17.96676535087719
2023-06-02,17.02960526315789
2023-06-03,21.523596491228066
2023-06-04,19.27535087719298
2023-06-05,23.22244517543861
2023-06-06,25.25209429824561
2023-06-07,23.38679824561403
2023-06-08,19.82109649122808
2023-06-09,20.234692982456146
2023-06-10,22.50037280701755
2023-06-11,23.05462719298245
2023-06-12,24.345570175438585
2023-06-13,26.978223684210526
2023-06-14,28.684057017543857
2023-06-15,29.50455043859649
2023-06-16,29.539320175438597
2023-06-17,27.662719298245616
2023-06-18,17.845570175438603
2023-06-19,22.497391505078472
2023-06-20,29.721765350877188
2023-06-21,28.44048245614035
2023-06-22,26.84668859649123
2023-06-23,28.281041666666653
2023-06-24,27.97672149122807
2023-06-25,29.31410087719298
2023-06-26,28.847072368421056
2023-06-27,27.570657894736843
2023-06-28,29.09777412280702
2023-06-29,30.66498903508772
2023-06-30,24.1722149122807
2023-07-01,24.08967105263159
2023-07-02,16.442861842105255
2023-07-03,15.2853399122807
2023-07-04,19.663969298245625
2023-07-05,23.480383771929837
2023-07-06,20.58013888888888
2023-07-07,19.708870614035085
2023-07-08,26.38746710526316
2023-07-09,26.833771929824547
2023-07-10,26.067313596491225
2023-07-11,25.066315789473684
2023-07-12,22.772445175438595
2023-07-13,23.966271929824558
2023-07-14,25.348760964912284
2023-07-15,25.41601973684212
2023-07-16,21.462986111111125
2023-07-17,21.124111842105265
2023-07-18,20.078706140350874
2023-07-19,20.619798976608188
2023-07-20,20.913037280701747
2023-07-21,22.31390350877194
2023-07-22,21.98107456140351
2023-07-23,22.693549836601317
2023-07-24,24.16069444444444
2023-07-25,21.783504901960782
2023-07-26,21.28210375816994
2023-07-27,22.12783088235295
2023-07-28,19.63327205882352
2023-07-29,25.06281862745098
2023-07-30,21.94136029411765
2023-07-31,16.5675980392157
2023-08-01,21.993296568627464
2023-08-02,22.560906862745085
2023-08-03,17.267034313725496
2023-08-04,21.38301470588236
2023-08-05,23.04321078431372
2023-08-06,17.32904411764705
2023-08-07,23.76042892156862
2023-08-08,15.8865931372549
2023-08-09,15.7013725490196
2023-08-10,14.892543859649113
2023-08-11,18.83813725490197
2023-08-12,18.24388480392155
2023-08-13,20.692291666666662
2023-08-14,23.508913828689373
2023-08-15,23.361964285714286
2023-08-16,25.04208333333333
2023-08-17,24.54061274509804
2023-08-18,20.658713235294123
